Time	Window00	Window01	Window10	Window11	Estimate00	Estimate01	Estimate10	Estimate11
1	100	100	100	100	0.0	0.0	0.0	0.0
2	30	30	100	100	0.03333333333333333	0.0	0.0	0.0
3	30	30	100	100	0.06666666666666667	0.0	0.0	0.0
4	30	30	100	100	0.1	0.0	0.0	0.0
5	30	30	100	100	0.1333333333333333	0.0	0.0	0.0
6	30	30	100	100	0.1666666666666667	0.0	0.0	0.0
7	30	30	100	100	0.2	0.0	0.0	0.0
8	30	30	100	100	0.2333333333333333	0.0	0.0	0.0
9	30	30	100	100	0.2666666666666667	0.0	0.0	0.0
10	30	30	100	100	0.3	0.0	0.0	0.0
11	30	30	100	100	0.3333333333333333	0.0	0.0	0.0
12	30	30	100	100	0.3666666666666667	0.0	0.0	0.0
13	30	30	100	100	0.4	0.0	0.0	0.0
14	30	30	100	100	0.4333333333333333	0.0	0.0	0.0
15	30	30	100	100	0.4666666666666667	0.0	0.0	0.0
16	30	30	100	100	0.5	0.0	0.0	0.0
17	30	30	100	100	0.5333333333333333	0.0	0.0	0.0
18	30	30	100	100	0.5666666666666667	0.0	0.0	0.0
19	30	30	100	100	0.6	0.0	0.0	0.0
20	30	30	100	100	0.6333333333333333	0.0	0.0	0.0
21	30	30	100	100	0.6666666666666667	0.0	0.0	0.0
22	30	30	100	100	0.7	0.0	0.0	0.0
23	30	30	100	100	0.7333333333333333	0.0	0.0	0.0
24	30	30	100	100	0.7666666666666667	0.0	0.0	0.0
25	30	30	100	100	0.8	0.0	0.0	0.0
26	30	30	100	100	0.8333333333333333	0.0	0.0	0.0
27	30	30	100	100	0.8666666666666667	0.0	0.0	0.0
28	30	30	100	100	0.9	0.0	0.0	0.0
29	30	30	100	100	0.9333333333333333	0.0	0.0	0.0
30	30	30	100	100	0.9666666666666667	0.0	0.0	0.0
31	30	30	100	100	1.0	0.0	0.0	0.0
32	30	30	100	100	1.0	0.0	0.0	0.0
33	30	30	100	100	1.0	0.0	0.0	0.0
34	30	30	100	100	1.0	0.0	0.0	0.0
35	30	30	100	100	1.0	0.0	0.0	0.0
36	30	30	100	100	1.0	0.0	0.0	0.0
37	30	30	100	100	1.0	0.0	0.0	0.0
38	30	30	100	100	1.0	0.0	0.0	0.0
39	30	30	100	100	1.0	0.0	0.0	0.0
40	30	30	100	100	1.0	0.0	0.0	0.0
41	30	40	100	100	1.0	0.0	0.0	0.0
42	30	40	100	100	1.0	0.0	0.0	0.0
43	30	40	100	100	1.0	0.0	0.0	0.0
44	30	40	100	100	1.0	0.0	0.0	0.0
45	30	40	100	100	1.0	0.0	0.0	0.0
46	30	40	100	100	1.0	0.0	0.0	0.0
47	30	40	100	100	1.0	0.0	0.0	0.0
48	30	40	100	100	1.0	0.0	0.0	0.0
49	30	40	100	100	1.0	0.0	0.0	0.0
50	30	40	100	100	1.0	0.0	0.0	0.0
51	30	50	100	100	1.0	0.0	0.0	0.0
52	30	50	100	100	1.0	0.0	0.0	0.0
53	30	50	100	100	1.0	0.0	0.0	0.0
54	30	50	100	100	1.0	0.0	0.0	0.0
55	30	50	100	100	1.0	0.0	0.0	0.0
56	30	50	100	100	1.0	0.0	0.0	0.0
57	30	50	100	100	1.0	0.0	0.0	0.0
58	30	50	100	100	1.0	0.0	0.0	0.0
59	30	50	100	100	1.0	0.0	0.0	0.0
60	30	50	100	100	1.0	0.0	0.0	0.0
61	30	60	100	100	1.0	0.0	0.0	0.0
62	30	60	100	100	1.0	0.0	0.0	0.0
63	30	60	100	100	0.9666666666666667	0.01666666666666667	0.0	0.0
64	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.03333333333333333
65	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.06666666666666667
66	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.1
67	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.1333333333333333
68	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.1666666666666667
69	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.2
70	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.2333333333333333
71	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.2666666666666667
72	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.3
73	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.3333333333333333
74	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.3666666666666667
75	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.4
76	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.4333333333333333
77	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.4666666666666667
78	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.5
79	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.5333333333333333
80	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.5666666666666667
81	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.6
82	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.6333333333333333
83	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.6666666666666667
84	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.7
85	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.7333333333333333
86	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.7666666666666667
87	30	60	30	30	0.9666666666666667	0.01666666666666667	0.0	0.8
